Keyword,Ticker
alibaba,BABA
baba,BABA
alphabet,GOOG
google,GOOG
goog,GOOG
airbnb,ABNB
abnb,ABNB
amazon,AMZN
amzn,AMZN
amc,AMC
amd,AMD
amt,AMT
apple,AAPL
aapl,AAPL
baidu,BIDU
bidu,BIDU
bac,BAC
ba,BA
boeing,BA
chevron,CVX
cvx,CVX
cisco,CSCO
csco,CSCO
citigroup,C
c,C
coinbase,COIN
coin,COIN
draftkings,DKNG
dkng,DKNG
exxon,XOM
xom,XOM
facebook,FB
fb,FB
freeport,FCX
mcmoran,FCX
freeport-mcmoran,FCX
fcx,FCX
gamestop,GME
gme,GME
goldman,GS
gs,GS
intel,INTC
intc,INTC
jpm,JPM
jpmorgan,JPM
jp,JPM
mastercard,MA
ma,MA
micron,MU
mu,MU
microsoft,MSFT
msft,MSFT
moderna,MRNA
mrna,MRNA
netflix,NFLX
nflx,NFLX
nike,NIKE
nke,NKE
nvidia,NVDA
nvda,NVDA
ocugen,OCGN
ocgn,OCGN
oracle,ORCL
orcl,ORCL
palantir,PLTR
pltr,PLTR
paypal,PYPL
pypl,PYPL
peloton,PTON
pton,PTON
pfeizer,PFE
pfe,PFE
rocket,RKT
rkt,RKT
roku,ROKU
salesforce.com,CRM
salesforce,CRM
crm,CRM
shopify,SHOP
shop,SHOP
snap,SNAP
snowflake,SNOW
snow,SNOW
square,SQ
sq,SQ
tsm,TSM
tesla,TSLA
tsla,TSLA
tilray,TLRY
tlry,TLRY
twitter,TWTR
twtr,TWTR
uber,UBER
disney,DIS
dis,DIS
wells,WFC
fargo,WFC
wfc,WFC
